user_id,gender,age,num_items,purchase
1000002,M,55+,77,810472
1000003,M,26-35,29,341635
1000004,M,46-50,14,206468
1000005,M,26-35,106,821001
1000007,M,36-45,17,234668
1000008,M,26-35,77,796593
1000009,M,26-35,58,594099
1000012,M,26-35,11,120801
1000013,M,46-50,60,713927
1000014,M,36-45,13,127629
1000015,M,26-35,117,1047728
1000017,M,51-55,115,1425995
1000019,M,0-17,145,1458069
1000021,M,18-25,14,127099
1000022,M,18-25,156,1279914
1000023,M,36-45,171,1670998
1000025,M,18-25,44,534706
1000026,M,26-35,226,1606174
1000027,M,26-35,42,448934
1000029,M,36-45,52,696201
1000031,M,55+,64,496154
1000033,M,46-50,216,1940418
1000035,M,46-50,111,821303
1000036,M,26-35,200,2316570
1000039,M,18-25,41,382339
1000042,M,26-35,125,1483035
1000043,M,26-35,14,137916
1000044,M,46-50,120,1180380
1000046,M,18-25,21,138729
1000047,M,18-25,14,131303
1000048,M,26-35,338,2788504
1000049,M,18-25,60,732364
1000052,M,18-25,42,523039
1000053,M,26-35,377,4270371
1000054,M,51-55,24,187451
1000056,M,36-45,38,383101
1000057,M,18-25,43,312584
1000058,M,26-35,261,2896836
1000060,M,51-55,36,280029
1000061,M,26-35,20,156360
1000063,M,18-25,63,553760
1000064,M,18-25,16,210996
1000065,M,36-45,67,892321
1000066,M,26-35,21,225028
1000068,M,18-25,43,328655
1000070,M,18-25,26,213769
1000071,M,26-35,16,157105
1000073,M,18-25,134,1428303
1000074,M,36-45,29,326298
1000076,M,36-45,51,597730
1000077,M,18-25,22,147847
1000080,M,55+,32,339364
1000082,M,26-35,59,645708
1000084,M,18-25,22,277125
1000085,M,18-25,19,148849
1000087,M,26-35,37,407327
1000090,M,55+,137,1310621
1000091,M,36-45,24,211281
1000093,M,26-35,115,1275642
1000094,M,26-35,7,49288
1000095,M,46-50,56,580306
1000100,M,36-45,42,461945
1000102,M,36-45,87,640517
1000103,M,46-50,66,1016837
1000105,M,46-50,41,636115
1000107,M,46-50,65,578540
1000108,M,26-35,14,120872
1000109,M,46-50,44,468810
1000110,M,26-35,41,435598
1000111,M,36-45,55,521270
1000112,M,26-35,30,413240
1000113,M,18-25,36,360080
1000116,M,26-35,55,590875
1000117,M,26-35,283,2742646
1000118,M,36-45,119,1301643
1000120,M,26-35,33,344419
1000121,M,36-45,41,586434
1000123,M,36-45,352,3237092
1000124,M,55+,15,135998
1000125,M,46-50,36,504628
1000126,M,18-25,30,333612
1000128,M,55+,13,139414
1000129,M,26-35,85,1254181
1000130,M,36-45,80,1274878
1000131,M,18-25,153,1271991
1000132,M,26-35,45,345438
1000134,M,26-35,102,877630
1000135,M,18-25,39,360650
1000136,M,18-25,227,1562462
1000138,M,18-25,37,593148
1000142,M,26-35,34,301459
1000143,M,18-25,37,375743
1000145,M,18-25,29,195522
1000147,M,18-25,95,1094887
1000148,M,51-55,339,3617294
1000149,M,26-35,334,3775096
1000150,M,36-45,135,1226295
1000152,M,18-25,18,129138
1000153,M,0-17,15,125304
1000154,M,51-55,35,281466
1000155,M,36-45,54,360236
1000157,M,36-45,217,2228762
1000158,M,55+,15,185073
1000160,M,36-45,10,84580
1000161,M,46-50,184,1884662
1000163,M,18-25,271,1633731
1000165,M,18-25,57,602989
1000166,M,18-25,217,2073193
1000169,M,26-35,313,2850607
1000170,M,26-35,43,537867
1000172,M,26-35,15,213016
1000173,M,26-35,315,3204716
1000174,M,26-35,56,763377
1000177,M,51-55,31,390156
1000178,M,55+,67,540659
1000179,M,26-35,67,486867
1000180,M,46-50,31,258592
1000181,M,18-25,170,1788678
1000182,M,18-25,54,490892
1000185,M,46-50,32,435741
1000186,M,18-25,59,652367
1000188,M,55+,42,402282
1000190,M,26-35,81,778581
1000191,M,18-25,17,117371
1000192,M,18-25,285,2405988
1000195,M,26-35,467,4532026
1000197,M,18-25,17,143662
1000198,M,26-35,208,2114755
1000199,M,18-25,207,1825465
1000202,M,18-25,379,3195955
1000204,M,26-35,246,2424484
1000205,M,36-45,84,923914
1000206,M,26-35,16,152712
1000208,M,36-45,108,1110185
1000209,M,36-45,14,86769
1000211,M,46-50,21,224683
1000212,M,26-35,68,679386
1000214,M,18-25,94,751975
1000215,M,36-45,16,237988
1000216,M,46-50,430,3140868
1000217,M,18-25,14,144915
1000218,M,36-45,50,381736
1000220,M,26-35,57,620991
1000222,M,26-35,39,428449
1000223,M,26-35,131,1125900
1000225,M,26-35,293,2483266
1000227,M,36-45,17,165449
1000228,M,26-35,22,233041
1000229,M,18-25,115,910223
1000230,M,46-50,100,1071526
1000231,M,26-35,55,627709
1000232,M,26-35,55,413883
1000234,M,36-45,21,198175
1000235,M,26-35,268,2682668
1000236,M,26-35,32,373171
1000237,M,26-35,89,660317
1000239,M,18-25,39,373618
1000240,M,51-55,86,854532
1000243,M,26-35,14,107183
1000244,M,51-55,51,541992
1000245,M,36-45,435,2958852
1000250,M,36-45,12,112588
1000251,M,55+,41,414208
1000252,M,26-35,29,368795
1000254,M,36-45,13,114234
1000255,M,36-45,130,1455520
1000256,M,46-50,56,860460
1000257,M,18-25,35,445132
1000258,M,26-35,76,783920
1000259,M,26-35,81,853248
1000260,M,18-25,90,1134519
1000261,M,26-35,218,2043759
1000264,M,36-45,275,2115392
1000266,M,36-45,32,310213
1000267,M,46-50,78,590162
1000269,M,26-35,16,119678
1000270,M,51-55,75,922239
1000271,M,18-25,188,1975959
1000272,M,18-25,280,2852181
1000273,M,18-25,117,1240386
1000274,M,18-25,79,866188
1000275,M,26-35,53,544855
1000276,M,46-50,18,171897
1000278,M,46-50,114,859983
1000279,M,26-35,27,234045
1000280,M,51-55,26,189891
1000282,M,26-35,15,165095
1000284,M,26-35,275,2253516
1000287,M,51-55,65,571098
1000291,M,36-45,55,468257
1000292,M,36-45,24,258693
1000293,M,55+,176,1246978
1000295,M,18-25,105,1200333
1000296,M,51-55,58,503233
1000297,M,18-25,48,578712
1000299,M,26-35,64,717925
1000300,M,26-35,154,1789852
1000301,M,18-25,204,1969774
1000302,M,18-25,454,3225955
1000303,M,26-35,125,1090742
1000304,M,26-35,14,182842
1000306,M,18-25,113,1181761
1000307,M,51-55,114,1324203
1000308,M,26-35,322,2790537
1000309,M,26-35,65,734933
1000311,M,18-25,11,165653
1000316,M,55+,39,555750
1000320,M,36-45,8,91410
1000321,M,18-25,135,1363801
1000322,M,55+,18,180252
1000323,M,46-50,60,556238
1000324,M,36-45,47,432511
1000326,M,51-55,218,1774938
1000327,M,36-45,132,1257927
1000328,M,36-45,32,360181
1000329,M,36-45,447,3007097
1000330,M,55+,41,461751
1000331,M,26-35,340,3269826
1000332,M,51-55,42,411182
1000333,M,36-45,137,867140
1000335,M,36-45,96,775920
1000336,M,18-25,58,745283
1000337,M,18-25,100,1098232
1000338,M,36-45,203,2027171
1000339,M,51-55,71,626114
1000342,M,18-25,71,758556
1000344,M,36-45,54,531840
1000345,M,26-35,15,154703
1000348,M,51-55,56,458613
1000349,M,0-17,155,1446070
1000350,M,46-50,34,364420
1000351,M,18-25,64,735489
1000352,M,18-25,487,4355896
1000354,M,36-45,30,281002
1000355,M,18-25,251,2378946
1000356,M,55+,13,142704
1000357,M,18-25,37,331204
1000359,M,26-35,21,207019
1000360,M,36-45,36,421379
1000362,M,36-45,26,248504
1000363,M,18-25,27,308134
1000366,M,51-55,134,1410122
1000368,M,26-35,194,2040034
1000369,M,36-45,49,323035
1000370,M,18-25,36,383580
1000371,M,18-25,50,437078
1000375,M,26-35,31,299011
1000376,M,36-45,56,534975
1000377,M,26-35,78,920708
1000380,M,26-35,86,729418
1000381,M,36-45,19,259681
1000384,M,26-35,17,169138
1000385,M,26-35,73,840720
1000386,M,26-35,150,1161267
1000389,M,26-35,45,400856
1000390,M,26-35,124,946897
1000391,M,46-50,38,431481
1000392,M,18-25,268,2219577
1000393,M,36-45,40,335223
1000394,M,18-25,19,231657
1000396,M,26-35,96,689518
1000397,M,36-45,21,234870
1000398,M,26-35,125,1257763
1000401,M,18-25,42,415368
1000402,M,26-35,160,1369174
1000403,M,18-25,167,1694874
1000405,M,55+,29,202171
1000406,M,26-35,78,721522
1000408,M,26-35,90,1010392
1000409,M,18-25,163,1596446
1000412,M,36-45,255,2709935
1000413,M,26-35,55,508477
1000414,M,26-35,37,283915
1000416,M,46-50,35,352175
1000419,M,18-25,64,642680
1000420,M,36-45,41,417124
1000422,M,55+,28,312281
1000423,M,18-25,38,243279
1000424,M,26-35,694,6573609
1000425,M,26-35,112,980360
1000426,M,18-25,133,1530944
1000429,M,18-25,206,2001630
1000431,M,18-25,44,442275
1000433,M,51-55,28,188322
1000435,M,26-35,71,939617
1000436,M,18-25,76,797161
1000437,M,36-45,33,355512
1000438,M,18-25,322,2792161
1000439,M,36-45,55,550292
1000442,M,26-35,245,2258560
1000443,M,26-35,22,249879
1000444,M,55+,72,624479
1000445,M,46-50,161,1584585
1000448,M,26-35,12,100961
1000449,M,26-35,33,299601
1000450,M,46-50,28,256616
1000451,M,55+,115,1175712
1000452,M,51-55,74,860396
1000453,M,18-25,227,2249709
1000454,M,26-35,148,1163925
1000456,M,36-45,92,925531
1000457,M,18-25,141,1259025
